order_number,product_key,customer_id,order_date,shipping_date,delivery_due_date,price,sales_amount,sales_quantity
SO43697,20,21768,12/29/2010,1/5/2011,1/10/2011,3578,3578,1
SO43698,9,28389,12/29/2010,1/5/2011,1/10/2011,3400,3400,1
SO43699,9,25863,12/29/2010,1/5/2011,1/10/2011,3400,3400,1
SO43700,41,14501,12/29/2010,1/5/2011,1/10/2011,699,699,1
SO43701,9,11003,12/29/2010,1/5/2011,1/10/2011,3400,3400,1
SO43702,16,27645,12/30/2010,1/6/2011,1/11/2011,3578,3578,1
SO43703,20,16624,12/30/2010,1/6/2011,1/11/2011,3578,3578,1
SO43704,6,11005,12/30/2010,1/6/2011,1/11/2011,3375,3375,1
SO43705,7,11011,12/30/2010,1/6/2011,1/11/2011,3400,3400,1
SO43706,17,27621,12/31/2010,1/7/2011,1/12/2011,3578,3578,1
SO43707,17,27616,12/31/2010,1/7/2011,1/12/2011,3578,3578,1
SO43708,44,20042,12/31/2010,1/7/2011,1/12/2011,699,699,1
SO43709,18,16351,12/31/2010,1/7/2011,1/12/2011,3578,3578,1
SO43710,19,16517,12/31/2010,1/7/2011,1/12/2011,3578,3578,1
SO43711,19,27606,1/1/2011,1/8/2011,1/13/2011,3578,3578,1
SO43712,16,13513,1/1/2011,1/8/2011,1/13/2011,3578,3578,1
SO43713,20,27601,1/2/2011,1/9/2011,1/14/2011,3578,3578,1
SO43714,16,13591,1/2/2011,1/9/2011,1/14/2011,3578,3578,1
SO43715,19,16483,1/2/2011,1/9/2011,1/14/2011,3578,3578,1
SO43716,16,16529,1/2/2011,1/9/2011,1/14/2011,3578,3578,1
SO43717,41,25249,1/2/2011,1/9/2011,1/14/2011,699,699,1
SO43718,16,27668,1/3/2011,1/10/2011,1/15/2011,3578,3578,1
SO43719,17,27612,1/3/2011,1/10/2011,1/15/2011,3578,3578,1
SO43720,16,13264,1/3/2011,1/10/2011,1/15/2011,3578,3578,1
SO43721,20,13590,1/3/2011,1/10/2011,1/15/2011,3578,3578,1
SO43722,17,13581,1/4/2011,1/11/2011,1/16/2011,3578,3578,1
SO43723,39,14520,1/4/2011,1/11/2011,1/16/2011,699,699,1
SO43724,16,16520,1/4/2011,1/11/2011,1/16/2011,3578,3578,1
SO43725,16,13258,1/5/2011,1/12/2011,1/17/2011,3578,3578,1
SO43726,39,14560,1/5/2011,1/12/2011,1/17/2011,699,699,1
SO43727,16,16607,1/5/2011,1/12/2011,1/17/2011,3578,3578,1
SO43728,18,27666,1/6/2011,1/13/2011,1/18/2011,3578,3578,1
SO43729,9,11238,1/6/2011,1/13/2011,1/18/2011,3400,3400,1
SO43730,9,25861,1/6/2011,1/13/2011,1/18/2011,3400,3400,1
SO43731,19,16629,1/6/2011,1/13/2011,1/18/2011,3578,3578,1
SO43732,5,11025,1/6/2011,1/13/2011,1/18/2011,3375,3375,1
SO43733,17,27577,1/6/2011,1/13/2011,1/18/2011,3578,3578,1
SO43734,17,27604,1/7/2011,1/14/2011,1/19/2011,3578,3578,1
SO43735,20,16522,1/7/2011,1/14/2011,1/19/2011,3578,3578,1
SO43736,9,11002,1/7/2011,1/14/2011,1/19/2011,3400,3400,1
SO43737,16,13261,1/8/2011,1/15/2011,1/20/2011,3578,3578,1
SO43738,17,11606,1/8/2011,1/15/2011,1/20/2011,3578,3578,1
SO43739,20,13563,1/8/2011,1/15/2011,1/20/2011,3578,3578,1
SO43740,17,16527,1/8/2011,1/15/2011,1/20/2011,3578,3578,1
SO43741,20,27671,1/9/2011,1/16/2011,1/21/2011,3578,3578,1
SO43742,19,13576,1/9/2011,1/16/2011,1/21/2011,3578,3578,1
SO43743,10,11007,1/9/2011,1/16/2011,1/21/2011,3400,3400,1
SO43744,18,16631,1/9/2011,1/16/2011,1/21/2011,3578,3578,1
SO43745,16,16514,1/10/2011,1/17/2011,1/22/2011,3578,3578,1
SO43746,17,16616,1/10/2011,1/17/2011,1/22/2011,3578,3578,1
SO43747,19,27623,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43748,18,27625,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43749,19,27636,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43750,16,11591,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43751,18,11592,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43752,16,13265,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43753,20,16482,1/11/2011,1/18/2011,1/23/2011,3578,3578,1
SO43754,17,27617,1/12/2011,1/19/2011,1/24/2011,3578,3578,1
SO43755,16,27670,1/12/2011,1/19/2011,1/24/2011,3578,3578,1
SO43756,39,19941,1/12/2011,1/19/2011,1/24/2011,699,699,1
SO43757,5,11017,1/12/2011,1/19/2011,1/24/2011,3375,3375,1
SO43758,20,27646,1/13/2011,1/20/2011,1/25/2011,3578,3578,1
SO43759,20,13257,1/13/2011,1/20/2011,1/25/2011,3578,3578,1
SO43760,19,16352,1/13/2011,1/20/2011,1/25/2011,3578,3578,1
SO43761,20,16493,1/13/2011,1/20/2011,1/25/2011,3578,3578,1
SO43762,19,27578,1/14/2011,1/21/2011,1/26/2011,3578,3578,1
SO43763,18,16525,1/14/2011,1/21/2011,1/26/2011,3578,3578,1
SO43764,20,16612,1/14/2011,1/21/2011,1/26/2011,3578,3578,1
SO43765,9,11010,1/14/2011,1/21/2011,1/26/2011,3400,3400,1
SO43766,18,16518,1/15/2011,1/22/2011,1/27/2011,3578,3578,1
SO43767,5,11001,1/15/2011,1/22/2011,1/27/2011,3375,3375,1
SO43768,17,27649,1/16/2011,1/23/2011,1/28/2011,3578,3578,1
SO43769,17,21659,1/16/2011,1/23/2011,1/28/2011,3578,3578,1
SO43770,17,27614,1/16/2011,1/23/2011,1/28/2011,3578,3578,1
SO43771,44,14559,1/16/2011,1/23/2011,1/28/2011,699,699,1
SO43772,17,16524,1/16/2011,1/23/2011,1/28/2011,3578,3578,1
SO43773,19,16526,1/16/2011,1/23/2011,1/28/2011,3578,3578,1
SO43774,18,16348,1/16/2011,1/23/2011,1/28/2011,3578,3578,1
SO43775,10,11027,1/16/2011,1/23/2011,1/28/2011,3400,3400,1
SO43776,19,13260,1/17/2011,1/24/2011,1/29/2011,3578,3578,1
SO43777,16,16515,1/17/2011,1/24/2011,1/29/2011,3578,3578,1
SO43778,8,11018,1/17/2011,1/24/2011,1/29/2011,3400,3400,1
SO43779,42,25252,1/17/2011,1/24/2011,1/29/2011,699,699,1
SO43780,16,11599,1/18/2011,1/25/2011,1/30/2011,3578,3578,1
SO43781,17,16495,1/18/2011,1/25/2011,1/30/2011,3578,3578,1
SO43782,17,16516,1/18/2011,1/25/2011,1/30/2011,3578,3578,1
SO43783,17,16620,1/18/2011,1/25/2011,1/30/2011,3578,3578,1
SO43784,20,27667,1/19/2011,1/26/2011,1/31/2011,3578,3578,1
SO43785,16,11601,1/19/2011,1/26/2011,1/31/2011,3578,3578,1
SO43786,16,11607,1/19/2011,1/26/2011,1/31/2011,3578,3578,1
SO43787,7,29385,1/19/2011,1/26/2011,1/31/2011,3400,3400,1
SO43788,6,11239,1/19/2011,1/26/2011,1/31/2011,3375,3375,1
SO43789,6,25865,1/19/2011,1/26/2011,1/31/2011,3375,3375,1
SO43790,7,25857,1/19/2011,1/26/2011,1/31/2011,3400,3400,1
SO43791,19,16484,1/19/2011,1/26/2011,1/31/2011,3578,3578,1
SO43792,17,16623,1/19/2011,1/26/2011,1/31/2011,3578,3578,1
SO43793,7,11000,1/19/2011,1/26/2011,1/31/2011,3400,3400,1
SO43794,10,11029,1/19/2011,1/26/2011,1/31/2011,3400,3400,1
SO43795,17,27615,1/20/2011,1/27/2011,2/1/2011,3578,3578,1
SO43796,38,17956,1/20/2011,1/27/2011,2/1/2011,699,699,1
SO43797,17,16345,1/20/2011,1/27/2011,2/1/2011,3578,3578,1
SO43798,20,16521,1/20/2011,1/27/2011,2/1/2011,3578,3578,1
SO43799,17,16636,1/20/2011,1/27/2011,2/1/2011,3578,3578,1
SO43800,16,21710,1/21/2011,1/28/2011,2/2/2011,3578,3578,1
SO43801,16,13583,1/21/2011,1/28/2011,2/2/2011,3578,3578,1
SO43802,17,11593,1/21/2011,1/28/2011,2/2/2011,3578,3578,1
SO43803,19,21741,1/22/2011,1/29/2011,2/3/2011,3578,3578,1
SO43804,20,13585,1/22/2011,1/29/2011,2/3/2011,3578,3578,1
SO43805,43,14510,1/22/2011,1/29/2011,2/3/2011,699,699,1
SO43806,17,16523,1/22/2011,1/29/2011,2/3/2011,3578,3578,1
SO43807,17,11611,1/23/2011,1/30/2011,2/4/2011,3578,3578,1
SO43808,18,13259,1/23/2011,1/30/2011,2/4/2011,3578,3578,1
SO43809,20,16350,1/23/2011,1/30/2011,2/4/2011,3578,3578,1
SO43810,8,11004,1/23/2011,1/30/2011,2/4/2011,3400,3400,1
SO43811,9,11026,1/23/2011,1/30/2011,2/4/2011,3400,3400,1
SO43812,17,27662,1/24/2011,1/31/2011,2/5/2011,3578,3578,1
SO43813,5,28390,1/24/2011,1/31/2011,2/5/2011,3375,3375,1
SO43814,5,25866,1/24/2011,1/31/2011,2/5/2011,3375,3375,1
SO43815,16,16494,1/24/2011,1/31/2011,2/5/2011,3578,3578,1
SO43816,19,16496,1/24/2011,1/31/2011,2/5/2011,3578,3578,1
SO43817,20,16519,1/24/2011,1/31/2011,2/5/2011,3578,3578,1
SO43818,17,16528,1/24/2011,1/31/2011,2/5/2011,3578,3578,1
SO43819,9,11006,1/24/2011,1/31/2011,2/5/2011,3400,3400,1
SO43820,17,27651,1/25/2011,2/1/2011,2/6/2011,3578,3578,1
SO43821,20,27663,1/25/2011,2/1/2011,2/6/2011,3578,3578,1
SO43822,18,27669,1/25/2011,2/1/2011,2/6/2011,3578,3578,1
SO43823,38,19942,1/25/2011,2/1/2011,2/6/2011,699,699,1
SO43824,36,14558,1/25/2011,2/1/2011,2/6/2011,699,699,1
SO43825,18,16349,1/25/2011,2/1/2011,2/6/2011,3578,3578,1
SO43826,3,11008,1/25/2011,2/1/2011,2/6/2011,3375,3375,1
SO43827,36,25250,1/25/2011,2/1/2011,2/6/2011,699,699,1
SO43828,20,27605,1/26/2011,2/2/2011,2/7/2011,3578,3578,1
SO43829,20,27611,1/26/2011,2/2/2011,2/7/2011,3578,3578,1
SO43830,16,16347,1/26/2011,2/2/2011,2/7/2011,3578,3578,1
SO43831,4,11028,1/26/2011,2/2/2011,2/7/2011,3375,3375,1
SO43832,20,13584,1/26/2011,2/2/2011,2/7/2011,3578,3578,1
SO43833,20,21727,1/27/2011,2/3/2011,2/8/2011,3578,3578,1
SO43834,3,28393,1/27/2011,2/3/2011,2/8/2011,3375,3375,1
SO43835,3,19802,1/27/2011,2/3/2011,2/8/2011,3375,3375,1
SO43836,47,26620,1/27/2011,2/3/2011,2/8/2011,699,699,1
SO43837,5,11009,1/27/2011,2/3/2011,2/8/2011,3375,3375,1
SO43838,18,27641,1/28/2011,2/4/2011,2/9/2011,3578,3578,1
SO43839,16,27673,1/28/2011,2/4/2011,2/9/2011,3578,3578,1
SO43840,42,17957,1/28/2011,2/4/2011,2/9/2011,699,699,1
SO43841,19,13406,1/28/2011,2/4/2011,2/9/2011,3578,3578,1
SO43842,17,16630,1/28/2011,2/4/2011,2/9/2011,3578,3578,1
SO43918,18,22041,1/29/2011,2/5/2011,2/10/2011,3578,3578,1
SO43919,19,12124,1/29/2011,2/5/2011,2/10/2011,3578,3578,1
SO43920,18,28066,1/29/2011,2/5/2011,2/10/2011,3578,3578,1
SO43921,18,16743,1/29/2011,2/5/2011,2/10/2011,3578,3578,1
SO43922,20,13546,1/29/2011,2/5/2011,2/10/2011,3578,3578,1
SO43923,17,28018,1/30/2011,2/6/2011,2/11/2011,3578,3578,1
SO43924,20,12132,1/30/2011,2/6/2011,2/11/2011,3578,3578,1
SO43925,19,16661,1/30/2011,2/6/2011,2/11/2011,3578,3578,1
SO43926,6,11055,1/31/2011,2/7/2011,2/12/2011,3375,3375,1
SO43927,19,16662,1/31/2011,2/7/2011,2/12/2011,3578,3578,1
SO43928,18,16740,1/31/2011,2/7/2011,2/12/2011,3578,3578,1
SO43929,46,25270,1/31/2011,2/7/2011,2/12/2011,699,699,1
SO43930,17,28038,2/1/2011,2/8/2011,2/13/2011,3578,3578,1
SO43931,18,13548,2/1/2011,2/8/2011,2/13/2011,3578,3578,1
